"Country","Q57","Q58","Q59","Q60","Q61","Q62","Q63","Q64","Q65","Q66","Q67","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q75","Q76","Q77","Q78","Q79","Q80","Q81","Q82","Q83","Q84","Q85","Q86","Q87","Q88","Q89","GDP","Life_expectancy","Education","Urbanicity","Freedom_Score","Deaths_million","Vaccination_rate","Excess_per_million"
"Andorra",1.25574425574426,3.81573705179283,2.72083748753739,3.26620139581256,2.05805805805806,2.525783619818,2.59090909090909,2.002002002002,2.86395162186798,2.245,2.20779220779221,1.88277268093782,2.883,2.57719475277497,2.44176706827309,1.95740365111562,2.23601220752798,2.50650650650651,2.91069574247144,2.43032786885246,2.39979859013092,2.056,2.72032193158954,2.76867963152508,2.67201604814443,2.41549295774648,2.41229838709677,2.03688524590164,2.37874097007224,2.16255144032922,2.01331967213115,2.75176589303734,2.28659160696008,41.3286123929102,83.6,"11.08477","87.984",94,2067.04750450992,75,4692.80952112286
"Argentina",1.20693277310924,3.85914085914086,2.98383838383838,3.0563947633434,2.12678936605317,2.65671641791045,2.61702127659574,2.57273652085453,2.16945606694561,2.09400826446281,2.10121457489879,1.77871443624868,2.07995951417004,1.87854251012146,2.06497461928934,1.74223602484472,1.93645833333333,1.86377708978328,2.92702980472765,2.1885593220339,2.09453781512605,2.05355303810505,2.6150289017341,2.42080378250591,2.78964059196617,2.16375,2.06740196078431,1.66390532544379,1.8580814717477,2.05853658536585,1.64615384615385,2.59170013386881,1.5076660988075,9.96367416171662,77.284,"11.124391","91.991",84,2814.41502001846,91,1940.680020301
"Armenia",1.08108108108108,3.92098765432099,2.8014950166113,2.99093157460841,1.86008230452675,1.78811369509044,2.0401023890785,3.09188741721854,3.0498753117207,1.61161825726141,1.7822514379622,1.67167630057803,2.31825795644891,1.90964912280702,2.10042194092827,1.5580016934801,1.74049027895182,2.24289405684755,2.68816254416961,1.95619208087616,2.22222222222222,2.40396210163652,2.30009587727709,2.33631284916201,2.50858175248419,2.03921568627451,2.05776173285199,2.08641975308642,2.20405727923628,1.89698231009365,2.34994697773065,2.35537190082645,2.21420765027322,4.82850488626598,75.439,"11.28273","63.219",51,3134.72295501227,39,7071.90938736271
"Australia",1.54017857142857,3.75915649278579,2.92916899051868,3.40645879732739,2.484375,2.82645562464669,2.85408450704225,2.18489727928928,3.13329615170106,1.97550111358575,1.99888579387187,2.07739764441952,3.10356347438753,2.68214885282597,2.1826280623608,1.88189415041783,2.18659217877095,2.45112359550562,2.86261261261261,2.74958077138066,2.25688589094997,2.17152466367713,2.60570469798658,2.76996625421822,2.64454443194601,2.36273058994419,2.56504524886878,2.33371891266628,2.53877082136703,2.47062245491565,2.33487297921478,2.85754985754986,2.40150202195263,55.049571919719,82.9,"12.65669","86.124",98,655.706437935917,88,-548.135914908239
"Bangladesh",1.12927439532944,3.98415346121768,3.19933277731443,2.81871838111299,1.87709030100334,2.10414902624894,1.82214472537053,3.9275,3.33891213389121,2.89261744966443,3.00167644593462,2.71130434782609,2.43084660519698,3.01012658227848,3.1095197978096,2.3617747440273,3.00771869639794,2.88430493273543,3.3585409252669,2.7037037037037,2.79027902790279,2.99057412167952,2.74283071230342,2.86014625228519,2.72497570456754,2.8162100456621,3.01372756071806,2.79166666666667,2.81905910735826,2.25420168067227,3.1238670694864,2.94742857142857,2.73012048192771,2.12207839667492,72.806,"6.54998","37.405",41,171.976306618613,92,822.287151982461
"Bolivia",1.08597948216903,3.35188770571152,2.14735821619001,2.4657267865824,1.50072709646146,2.03092783505155,1.68152866242038,2.62743190661479,2.1378284581061,2.15027187345526,2.18297455968689,1.89010442565888,1.83503153808831,1.82001005530417,2.05648330058939,1.60068593826556,1.71588594704684,1.80985221674877,2.62487512487512,2.11649534997553,2.19133937562941,2.54201474201474,2.52102564102564,2.48539210661199,2.44258872651357,2.01192145862553,2.00578034682081,1.95791583166333,2.08300395256917,1.82300884955752,2.13647959183673,2.55455059355568,2.1625,3.47238083136442,67.841,"9.86412","69.773",67,1824.67271645952,56,7201.37685760577
"Brazil",1.06647398843931,3.45490867579909,2.46952988972722,2.61896551724138,1.79930595720069,2.47066167290886,2.09299279633268,2.75567190226876,2.71046373365042,2.12110523221634,2.04907621247113,2.04862842892768,2.45883707541739,2.40954625810253,1.70988372093023,1.46960046323104,1.54853801169591,2.35768115942029,2.96897810218978,1.80278422273782,2.44457904300424,2.39623750734862,2.65396825396825,2.74635761589404,2.75198533903482,2.19667832167832,2.35396825396825,2.01226993865031,2.44214328330272,2.25420168067227,2.14322916666667,2.47806691449814,2.3122289679098,8.84532414932264,75.338,"8.128814","86.824",75,3222.52439556762,87,3164.0714501088
"Canada",1.49502239920358,3.58038825286212,2.94350423096068,3.370831259333,2.44873071179691,2.89372822299652,2.92608262817322,2.26729716276755,2.89671478347437,2.34494773519164,2.25211548033848,2.34818317570931,2.80164260826282,2.64858138377302,2.41314086610254,2.07565953210552,2.39845694375311,2.58909905425585,2.86411149825784,2.59830761572922,2.28994524639124,2.51269288203086,2.629168740667,2.7536087605774,2.66973618715779,2.29342956694873,2.57914385266302,2.38227974116476,2.52065704330513,2.59258337481334,2.41090094574415,2.70383275261324,2.44873071179691,46.3741527517191,82.2287804878049,"13.834427","81.482",99,1264.83750203122,87,565.612466197091
"Chile",1.14271047227926,3.63763763763764,2.74144869215292,2.64753272910373,1.96777442094663,2.26391982182628,2.2454448017149,2.34944612286002,2.42540322580645,2.39292929292929,2.56161616161616,2.43501611170784,2.40425531914894,2.12423625254582,2.18413021363174,1.68762677484787,1.83452502553626,2.2239263803681,2.85272914521112,2.54979674796748,2.27533265097236,2.32150101419878,2.65808444902163,2.72852598091198,2.70343392299688,2.47278911564626,2.40044742729307,2.29593094944513,2.49782135076253,2.23495702005731,2.16646115906289,2.46519721577726,2.23730964467005,14.6326903076927,80.326,"10.934966","87.643",94,3223.8757791692,92,1973.87872688732
"China",1.65437022266534,3.84638255698712,2.99173826834104,3.01520661157025,1.95069490403706,1.98365577051368,1.92759426092759,2.00332557366146,3.45736946463979,2.76813514408745,2.83002645502646,2.76713262870781,3.1265697290152,3.13534083388484,3.4390485629336,3.27866136514248,3.30509596293845,3.11758860549851,3.19449966865474,2.66887636725224,2.77371048252912,3.16319788569541,2.94297082228117,2.9761035512778,2.83924428239974,2.36273058994419,2.45675482487491,2.25776397515528,2.44214328330272,2.25420168067227,2.33026069710019,2.74551665243382,2.41428571428571,10.1438602205959,77.968,"7.960391","60.308",11,12.1564253722095,90,-36.7742051003645
